Data,Nota,Texto,ID_Usuario,ID_Avaliacao
2025-10-21 20:36:25,5,muito top bom demais,Emerson Almeida de Oliveira,87e6788b-3491-471b-ab08-f820a2ceb0e3
2025-10-21 20:33:47,5,muito bom!,Jessika Almeida,85937105-28e7-4049-a4c5-8d3f65988889
2025-10-21 20:28:08,5,"o app é muito bom, porém ele é pago e tipo eu acho que agente não deveria ficar pagando um app de música só pq agente não esta com crédito ou com dinheiro pra ficar gastando com um app então do que adianta vc colocar crédito ou pagar um app que diz ser gratuito e se vc não ter internet ou pagar vc não consegue escutar as músicas isso não vale de nada, mais eu gosto do app.",Annavitoria Marques,7390ebc5-ddf5-4f13-a715-7989e6fa1b0a
2025-10-21 20:27:36,5,ótima experiência,Maria José varela da Costa Varela (Meury),50fd76f0-7490-44ea-91ff-4107fb572a2f
2025-10-21 20:23:18,5,um aplicativo maravilhoso que tem vários cantores de todo modo,Carlos Emanuel Santos Silva,a074ce4e-9b6f-433f-a169-52f66c935ad1
2025-10-21 20:18:45,5,esse é um dos melhores apps que eu já usei,Fabio Vitor,af18ac3e-6ce7-4f08-9092-20975ac2967e
2025-10-21 20:12:21,5,qualidade do som muito bom!!!,Diego Veloso,0a910c18-0ac2-46e4-b5cf-536eebeaab45
2025-10-21 20:08:56,3,Queria entender como eu pago o premium e mesmo assim aparece propaganda em poadcast...,João Foltran,51bd4f92-f799-43a0-94b0-0f341aaafd54
2025-10-21 20:07:01,5,chave,Andrew Alexander,1b31aaac-ffdc-416a-82e6-680ae9f3ee6a
2025-10-21 19:59:02,4,"aplicativo bom, mas se você não tiver o premium vai ter que ouvir muito anúncio",Cecilia,79990c25-f010-4186-b93c-cf6439aa9133
2025-10-21 19:58:27,5,Este APP nos dá o prazer de escutar a música q gostamos onde quisermos e na hora q quisermos😉.,Sueli Pardini Lo Turco,35d2fbc6-22ee-431d-8556-96f939e5e60d
2025-10-21 19:55:42,3,"é bom, mas sou quase que obrigado à ter o premium e isso é MT chato",Caio de Deus,fa50fffc-f1bb-48ea-b257-563ca3fab0ef
2025-10-21 19:53:53,5,muito bom mas tem q para de pedi dinheiro,Izis e Barbosa Sousa,126d1115-6524-434a-a97e-b8638323a9db
2025-10-21 19:48:59,3,"ele e muito bom,pra ouvir musica até mesmo com a tela desligada mas,tem muinto anúncio,mal se passa música e já começa outro podiam mudar tmb de ter certos anúncios de acordo com a idade certos anúncios são com musicas e são bem explícitas.obg pela atenção.",Redoflove,181fa1fa-71fb-4dd6-a361-26b5c4f44621
2025-10-21 19:47:49,5,amo o app!,Vitória Gouveia,361a981e-341a-4584-833e-b8da64473534
2025-10-21 19:46:12,5,bem massa o aplicativo ó,Nika Xz3,eff696a3-f902-4290-a8cc-e165e6ee127f
2025-10-21 19:42:10,1,eu Assinei o Pacote Premium individual e estou recebendo muita propaganda da claro e mais . como disse o suporte não existe propaganda no Premium e porque vejo tanto me atrapalhando até a navegação,Carlos Dony,55b4dbce-af22-4fc4-8c45-9232d6f83e8e
2025-10-21 19:41:45,4,ótimo muito bom mesmo mas o problema é que tem que pagar pra escutar a playlist em ordem,Edson,0f41412e-f6a7-4c2d-84b6-eb2c0c573716
2025-10-21 19:29:09,2,"tirando as propagandas insuportáveis q estão cada vez mais longas e repetitivas e ninguém escuta propaganda, o app é bom. mas deveria deixar baixar nossas playlists p o computador p escutar offline mas não deixa.",Ma Ppn,22d64820-39dd-49e5-b561-7c58cbff05ee
2025-10-21 19:27:17,5,muito bom,Loren Munhoz,a857b6f2-2524-4a36-a05e-88e808e97d44
2025-10-21 19:25:47,1,"Já foi muito melhor , hoje em dia o Spotify é um lixo. Propagandas enganosas ,prometem um serviço e não entregam. Suporte horrível... Não recomendo.",Maria Julia Moralis Andre,2148a78f-5473-43b7-b800-20662cf36303
2025-10-21 19:22:47,5,top!!,Maria Aparecida,a37ae86b-205f-4918-a4c0-96dfbd5725d8
2025-10-21 19:12:53,5,ótima música,Maria Camilo,1eddfbbc-38d8-415f-a68b-350567a2803b
2025-10-21 19:12:15,1,o aplicativo mais passa fome ja inventado puro mal caratismo,ERIKFIORE 11,9cac2af2-567c-4366-8726-66cc6866a5be
